source_phoneme,target_phoneme,f1_freq,f2_freq,f3_freq,f4_freq,f5_freq,f1_amp,f2_amp,f3_amp,f4_amp,f5_amp,chest,glottal,nasal,frication,f1_bw,f2_bw,f3_bw,f4_bw,f5_bw,bez_p1x,bez_p1y,bez_p2x,bez_p2y
i,d_h,250,1700,2600,3500,4500,0.35,0.3,0.2,0.1,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,b_h,250,700,2200,3200,4200,0.3,0.2,0.15,0.08,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,g_h,250,2000,2800,3500,4500,0.35,0.4,0.25,0.12,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,p_h,200,800,2000,3000,4000,0.15,0.1,0.1,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,k_h,200,2000,2800,3800,4800,0.15,0.1,0.1,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,t_h,200,1400,2400,3400,4400,0.1,0.08,0.08,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,d\,250,1500,2300,3400,4400,0.2,0.3,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,t\,200,1500,2300,3300,4300,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
i,n\,250,1000,2300,3300,4300,0.9,0.28,0.12,0.05,0.05,0.3,0.5,0.85,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
i,r\,350,1000,1400,3300,4200,0.8,0.55,0.35,0.18,0.09,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,NONE,390,1990,2550,3700,4500,0.7,0.9,0.6,0.35,0.18,0.5,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.0,0.0,0.0,0.0
I,i,270,2290,3010,3700,4500,0.6,1.0,0.7,0.4,0.2,0.4,0.7,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,e,400,2000,2550,3600,4500,0.75,0.95,0.65,0.38,0.19,0.5,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,E,530,1840,2480,3600,4500,0.85,0.9,0.6,0.35,0.18,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,{,660,1720,2410,3500,4400,0.9,0.85,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,@,500,1500,2500,3500,4500,0.8,0.7,0.5,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,a,800,1200,2500,3500,4500,1.0,0.8,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,A,800,1100,2400,3400,4400,1.0,0.85,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,O,570,840,2410,3300,4200,0.9,0.6,0.4,0.25,0.1,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,U,440,1020,2240,3100,4000,0.85,0.55,0.35,0.2,0.1,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,u,300,870,2240,3100,4000,0.75,0.5,0.3,0.18,0.09,0.4,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
I,m,250,900,2200,3200,4200,0.9,0.25,0.1,0.05,0.05,0.3,0.5,0.9,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,n,250,1100,2500,3500,4500,0.9,0.3,0.15,0.05,0.05,0.3,0.5,0.9,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,N,250,800,2300,3300,4300,0.9,0.2,0.1,0.05,0.05,0.3,0.5,0.95,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,r,400,1050,1550,3400,4300,0.8,0.6,0.4,0.2,0.1,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,l,360,1100,2800,3400,4300,0.8,0.6,0.5,0.2,0.1,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,j,300,2200,2900,3600,4500,0.6,0.9,0.7,0.35,0.18,0.4,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,w,300,700,2200,3100,4000,0.7,0.5,0.3,0.15,0.08,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,b,250,700,2200,3200,4200,0.2,0.15,0.1,0.05,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
I,d,250,1700,2600,3500,4500,0.2,0.3,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
I,g,250,2000,2800,3500,4500,0.3,0.4,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
I,p,200,800,2000,3000,4000,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
I,t,200,1400,2400,3400,4400,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
I,k,200,2000,2800,3800,4800,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
I,s,3000,4000,5000,6000,7000,0.0,0.0,0.4,0.7,1.0,0.1,0.1,0.0,1.0,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
I,S,2000,3000,4000,5000,6000,0.0,0.1,0.6,0.9,0.8,0.1,0.1,0.0,1.0,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
I,z,2800,3800,4800,5800,6800,0.05,0.05,0.35,0.65,0.9,0.1,0.2,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
I,v,300,1100,2200,3200,4200,0.1,0.15,0.1,0.08,0.05,0.2,0.3,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
I,f,3000,4000,5000,6000,7000,0.0,0.0,0.3,0.6,0.9,0.1,0.1,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
I,h,400,1200,2400,3400,4400,0.15,0.15,0.15,0.1,0.1,0.2,0.2,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
I,d_h,250,1700,2600,3500,4500,0.35,0.3,0.2,0.1,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,b_h,250,700,2200,3200,4200,0.3,0.2,0.15,0.08,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,g_h,250,2000,2800,3500,4500,0.35,0.4,0.25,0.12,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,p_h,200,800,2000,3000,4000,0.15,0.1,0.1,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,k_h,200,2000,2800,3800,4800,0.15,0.1,0.1,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,t_h,200,1400,2400,3400,4400,0.1,0.08,0.08,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,d\,250,1500,2300,3400,4400,0.2,0.3,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,t\,200,1500,2300,3300,4300,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
I,n\,250,1000,2300,3300,4300,0.9,0.28,0.12,0.05,0.05,0.3,0.5,0.85,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
I,r\,350,1000,1400,3300,4200,0.8,0.55,0.35,0.18,0.09,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,NONE,400,2000,2550,3600,4500,0.75,0.95,0.65,0.38,0.19,0.5,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.0,0.0,0.0,0.0
e,i,270,2290,3010,3700,4500,0.6,1.0,0.7,0.4,0.2,0.4,0.7,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,I,390,1990,2550,3700,4500,0.7,0.9,0.6,0.35,0.18,0.5,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,E,530,1840,2480,3600,4500,0.85,0.9,0.6,0.35,0.18,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,{,660,1720,2410,3500,4400,0.9,0.85,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,@,500,1500,2500,3500,4500,0.8,0.7,0.5,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,a,800,1200,2500,3500,4500,1.0,0.8,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,A,800,1100,2400,3400,4400,1.0,0.85,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,O,570,840,2410,3300,4200,0.9,0.6,0.4,0.25,0.1,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,U,440,1020,2240,3100,4000,0.85,0.55,0.35,0.2,0.1,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,u,300,870,2240,3100,4000,0.75,0.5,0.3,0.18,0.09,0.4,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
e,m,250,900,2200,3200,4200,0.9,0.25,0.1,0.05,0.05,0.3,0.5,0.9,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,n,250,1100,2500,3500,4500,0.9,0.3,0.15,0.05,0.05,0.3,0.5,0.9,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,N,250,800,2300,3300,4300,0.9,0.2,0.1,0.05,0.05,0.3,0.5,0.95,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,r,400,1050,1550,3400,4300,0.8,0.6,0.4,0.2,0.1,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,l,360,1100,2800,3400,4300,0.8,0.6,0.5,0.2,0.1,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,j,300,2200,2900,3600,4500,0.6,0.9,0.7,0.35,0.18,0.4,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,w,300,700,2200,3100,4000,0.7,0.5,0.3,0.15,0.08,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,b,250,700,2200,3200,4200,0.2,0.15,0.1,0.05,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
e,d,250,1700,2600,3500,4500,0.2,0.3,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
e,g,250,2000,2800,3500,4500,0.3,0.4,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
e,p,200,800,2000,3000,4000,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
e,t,200,1400,2400,3400,4400,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
e,k,200,2000,2800,3800,4800,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
e,s,3000,4000,5000,6000,7000,0.0,0.0,0.4,0.7,1.0,0.1,0.1,0.0,1.0,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
e,S,2000,3000,4000,5000,6000,0.0,0.1,0.6,0.9,0.8,0.1,0.1,0.0,1.0,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
e,z,2800,3800,4800,5800,6800,0.05,0.05,0.35,0.65,0.9,0.1,0.2,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
e,v,300,1100,2200,3200,4200,0.1,0.15,0.1,0.08,0.05,0.2,0.3,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
e,f,3000,4000,5000,6000,7000,0.0,0.0,0.3,0.6,0.9,0.1,0.1,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
e,h,400,1200,2400,3400,4400,0.15,0.15,0.15,0.1,0.1,0.2,0.2,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
e,d_h,250,1700,2600,3500,4500,0.35,0.3,0.2,0.1,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,b_h,250,700,2200,3200,4200,0.3,0.2,0.15,0.08,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,g_h,250,2000,2800,3500,4500,0.35,0.4,0.25,0.12,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,p_h,200,800,2000,3000,4000,0.15,0.1,0.1,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,k_h,200,2000,2800,3800,4800,0.15,0.1,0.1,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,t_h,200,1400,2400,3400,4400,0.1,0.08,0.08,0.05,0.05,0.2,0.4,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,d\,250,1500,2300,3400,4400,0.2,0.3,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,t\,200,1500,2300,3300,4300,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
e,n\,250,1000,2300,3300,4300,0.9,0.28,0.12,0.05,0.05,0.3,0.5,0.85,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
e,r\,350,1000,1400,3300,4200,0.8,0.55,0.35,0.18,0.09,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,NONE,530,1840,2480,3600,4500,0.85,0.9,0.6,0.35,0.18,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.0,0.0,0.0,0.0
E,i,270,2290,3010,3700,4500,0.6,1.0,0.7,0.4,0.2,0.4,0.7,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,I,390,1990,2550,3700,4500,0.7,0.9,0.6,0.35,0.18,0.5,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,e,400,2000,2550,3600,4500,0.75,0.95,0.65,0.38,0.19,0.5,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,{,660,1720,2410,3500,4400,0.9,0.85,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,@,500,1500,2500,3500,4500,0.8,0.7,0.5,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,a,800,1200,2500,3500,4500,1.0,0.8,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,A,800,1100,2400,3400,4400,1.0,0.85,0.55,0.3,0.15,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,O,570,840,2410,3300,4200,0.9,0.6,0.4,0.25,0.1,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,U,440,1020,2240,3100,4000,0.85,0.55,0.35,0.2,0.1,0.5,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,u,300,870,2240,3100,4000,0.75,0.5,0.3,0.18,0.09,0.4,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.33,0.0,0.66,1.0
E,m,250,900,2200,3200,4200,0.9,0.25,0.1,0.05,0.05,0.3,0.5,0.9,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,n,250,1100,2500,3500,4500,0.9,0.3,0.15,0.05,0.05,0.3,0.5,0.9,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,N,250,800,2300,3300,4300,0.9,0.2,0.1,0.05,0.05,0.3,0.5,0.95,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,r,400,1050,1550,3400,4300,0.8,0.6,0.4,0.2,0.1,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,l,360,1100,2800,3400,4300,0.8,0.6,0.5,0.2,0.1,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,j,300,2200,2900,3600,4500,0.6,0.9,0.7,0.35,0.18,0.4,0.6,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,w,300,700,2200,3100,4000,0.7,0.5,0.3,0.15,0.08,0.4,0.5,0.0,0.0,80.0,90.0,120.0,130.0,160.0,0.5,1.0,0.8,0.0
E,b,250,700,2200,3200,4200,0.2,0.15,0.1,0.05,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
E,d,250,1700,2600,3500,4500,0.2,0.3,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
E,g,250,2000,2800,3500,4500,0.3,0.4,0.2,0.1,0.05,0.3,0.4,0.0,0.1,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
E,p,200,800,2000,3000,4000,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
E,t,200,1400,2400,3400,4400,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
E,k,200,2000,2800,3800,4800,0.05,0.05,0.05,0.05,0.05,0.2,0.1,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.85,1.0,0.95,0.0
E,s,3000,4000,5000,6000,7000,0.0,0.0,0.4,0.7,1.0,0.1,0.1,0.0,1.0,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
E,S,2000,3000,4000,5000,6000,0.0,0.1,0.6,0.9,0.8,0.1,0.1,0.0,1.0,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
E,z,2800,3800,4800,5800,6800,0.05,0.05,0.35,0.65,0.9,0.1,0.2,0.0,0.8,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
E,v,300,1100,2200,3200,4200,0.1,0.15,0.1,0.08,0.05,0.2,0.3,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
E,f,3000,4000,5000,6000,7000,0.0,0.0,0.3,0.6,0.9,0.1,0.1,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
E,h,400,1200,2400,3400,4400,0.15,0.15,0.15,0.1,0.1,0.2,0.2,0.0,0.9,80.0,90.0,120.0,130.0,160.0,0.7,1.0,0.9,0.0
E,d_h,250,1700,2600,3500,4500,0.35,0.3,0.2,0.1,0.05,0.3,0.6,0.0,0.6,80.0,90.0,120.0,130.0,160.0,0.2,0.0,0.4,1.0
